Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.31.32	-46.46899	-23.59906	TIM	5G	-97	0	765	
2023.10.15_15.31.33	-46.46899	-23.59906	TIM	5G	-97	0	765	
2023.10.15_15.31.34	-46.46892	-23.59900	TIM	5G	-97	0	765	
2023.10.15_15.31.39	-46.46892	-23.59900	TIM	4G	-89	0	765	
2023.10.15_15.31.49	-46.46892	-23.59900	TIM	5G	-98	0	765	
2023.10.15_15.31.51	-46.46900	-23.59910	TIM	5G	-98	25	769	
2023.10.15_15.31.52	-46.46907	-23.59916	TIM	5G	-96	19	773	
2023.10.15_15.31.53	-46.46910	-23.59933	TIM	5G	-96	18	784	
2023.10.15_15.31.55	-46.46926	-23.59937	TIM	5G	-95	14	797	
2023.10.15_15.31.57	-46.46938	-23.59945	TIM	5G	-95	18	800	
2023.10.15_15.31.59	-46.46951	-23.59954	TIM	5G	-94	16	804	
2023.10.15_15.32.01	-46.46959	-23.59963	TIM	5G	-92	16	801	
2023.10.15_15.32.03	-46.46969	-23.59973	TIM	5G	-92	18	804	
2023.10.15_15.32.05	-46.46977	-23.59981	TIM	5G	-91	19	805	
2023.10.15_15.32.07	-46.46984	-23.59989	TIM	5G	-91	23	803	
2023.10.15_15.32.09	-46.46995	-23.60001	TIM	5G	-91	31	803	
2023.10.15_15.32.10	-46.47000	-23.60010	TIM	5G	-93	39	801	
2023.10.15_15.32.11	-46.47007	-23.60018	TIM	5G	-93	39	801	
2023.10.15_15.32.12	-46.47010	-23.60028	TIM	5G	-93	40	802	
2023.10.15_15.32.13	-46.47016	-23.60042	TIM	5G	-92	49	801	
2023.10.15_15.32.14	-46.47021	-23.60054	TIM	5G	-92	50	802	
2023.10.15_15.32.15	-46.47028	-23.60068	TIM	5G	-92	56	803	
2023.10.15_15.32.16	-46.47033	-23.60083	TIM	5G	-93	58	804	
2023.10.15_15.32.17	-46.47039	-23.60099	TIM	5G	-93	61	806	
2023.10.15_15.32.18	-46.47043	-23.60114	TIM	5G	-93	63	805	
2023.10.15_15.32.19	-46.47046	-23.60132	TIM	5G	-92	66	804	
2023.10.15_15.32.20	-46.47048	-23.60153	TIM	5G	-92	71	805	
2023.10.15_15.32.21	-46.47051	-23.60171	TIM	5G	-92	71	805	
2023.10.15_15.32.22	-46.47053	-23.60188	TIM	5G	-93	70	804	
2023.10.15_15.32.23	-46.47057	-23.60203	TIM	5G	-93	67	803	
2023.10.15_15.32.24	-46.47061	-23.60228	TIM	5G	-93	80	802	
2023.10.15_15.32.25	-46.47063	-23.60247	TIM	5G	-93	81	801	
2023.10.15_15.32.26	-46.47066	-23.60266	TIM	5G	-93	80	803	
2023.10.15_15.32.27	-46.47069	-23.60286	TIM	5G	-93	80	804	
2023.10.15_15.32.28	-46.47070	-23.60307	TIM	5G	-93	79	803	
2023.10.15_15.32.29	-46.47072	-23.60328	TIM	5G	-94	80	802	
2023.10.15_15.32.30	-46.47075	-23.60349	TIM	5G	-94	80	801	
2023.10.15_15.32.30	-46.47075	-23.60349	TIM	4G	-86	80	801	
2023.10.15_15.32.31	-46.47076	-23.60368	TIM	4G	-86	80	800	
2023.10.15_15.32.32	-46.47083	-23.60386	TIM	4G	-86	76	802	
2023.10.15_15.32.33	-46.47088	-23.60405	TIM	4G	-94	79	801	
2023.10.15_15.32.34	-46.47091	-23.60424	TIM	4G	-94	78	803	
2023.10.15_15.32.34	-46.47091	-23.60424	TIM	4G	-83	78	803	
2023.10.15_15.32.35	-46.47094	-23.60443	TIM	4G	-83	77	803	
2023.10.15_15.32.36	-46.47096	-23.60459	TIM	4G	-83	72	807	
2023.10.15_15.32.37	-46.47099	-23.60477	TIM	4G	-84	70	808	
2023.10.15_15.32.38	-46.47102	-23.60495	TIM	4G	-84	71	808	
2023.10.15_15.32.39	-46.47104	-23.60510	TIM	4G	-86	69	809	
2023.10.15_15.32.40	-46.47107	-23.60527	TIM	4G	-86	71	809	
2023.10.15_15.32.40	-46.47107	-23.60527	TIM	4G	-81	71	809	
2023.10.15_15.32.41	-46.47111	-23.60545	TIM	4G	-81	71	810	
2023.10.15_15.32.42	-46.47116	-23.60560	TIM	4G	-81	70	811	
2023.10.15_15.32.43	-46.47126	-23.60578	TIM	4G	-80	75	813	
2023.10.15_15.32.44	-46.47134	-23.60596	TIM	4G	-80	74	814	
2023.10.15_15.32.45	-46.47144	-23.60611	TIM	5G	-94	72	814	
2023.10.15_15.32.46	-46.47152	-23.60628	TIM	5G	-86	72	815	
2023.10.15_15.32.47	-46.47163	-23.60643	TIM	5G	-94	74	816	
2023.10.15_15.32.48	-46.47172	-23.60658	TIM	5G	-91	71	818	
2023.10.15_15.32.48	-46.47172	-23.60658	TIM	5G	-91	71	818	
2023.10.15_15.32.49	-46.47183	-23.60674	TIM	5G	-90	76	820	
2023.10.15_15.32.50	-46.47198	-23.60688	TIM	5G	-90	75	823	
2023.10.15_15.32.50	-46.47198	-23.60688	TIM	5G	-90	75	823	
2023.10.15_15.32.51	-46.47209	-23.60702	TIM	5G	-90	72	823	
2023.10.15_15.32.52	-46.47222	-23.60719	TIM	5G	-90	77	823	
2023.10.15_15.32.53	-46.47232	-23.60736	TIM	5G	-91	77	824	
2023.10.15_15.32.54	-46.47241	-23.60754	TIM	5G	-94	76	825	
2023.10.15_15.32.55	-46.47240	-23.60771	TIM	5G	-94	66	825	
2023.10.15_15.32.56	-46.47245	-23.60787	TIM	5G	-93	68	828	
2023.10.15_15.32.57	-46.47249	-23.60804	TIM	5G	-93	68	829	
2023.10.15_15.32.58	-46.47252	-23.60821	TIM	5G	-93	70	831	
2023.10.15_15.32.59	-46.47256	-23.60837	TIM	5G	-87	69	831	
2023.10.15_15.33.00	-46.47262	-23.60854	TIM	5G	-87	67	832	
2023.10.15_15.33.01	-46.47269	-23.60870	TIM	5G	-87	68	834	
2023.10.15_15.33.02	-46.47276	-23.60885	TIM	5G	-87	69	833	
2023.10.15_15.33.02	-46.47276	-23.60885	TIM	4G	-89	69	833	
2023.10.15_15.33.03	-46.47286	-23.60900	TIM	4G	-89	69	834	
2023.10.15_15.33.04	-46.47295	-23.60914	TIM	4G	-87	65	834	
2023.10.15_15.33.05	-46.47310	-23.60928	TIM	5G	-87	69	832	
2023.10.15_15.33.06	-46.47324	-23.60940	TIM	5G	-87	70	832	
2023.10.15_15.33.07	-46.47337	-23.60950	TIM	5G	-86	67	832	
2023.10.15_15.33.08	-46.47353	-23.60960	TIM	5G	-86	71	832	
2023.10.15_15.33.08	-46.47353	-23.60960	TIM	5G	-86	71	832	
2023.10.15_15.33.09	-46.47369	-23.60970	TIM	5G	-86	70	832	
2023.10.15_15.33.10	-46.47384	-23.60980	TIM	5G	-85	68	833	
2023.10.15_15.33.11	-46.47401	-23.60989	TIM	5G	-85	71	833	
2023.10.15_15.33.12	-46.47419	-23.60998	TIM	5G	-85	73	834	
2023.10.15_15.33.13	-46.47435	-23.61009	TIM	5G	-84	72	835	
2023.10.15_15.33.14	-46.47448	-23.61018	TIM	5G	-84	65	835	
2023.10.15_15.33.15	-46.47461	-23.61028	TIM	5G	-84	63	835	
2023.10.15_15.33.16	-46.47473	-23.61038	TIM	5G	-89	62	835	
