Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2023.11.24_22.59.59	-46.464885	-23.598597	TIM	71267	2	31108	5G	-107	-16	-4.0	-	-	HANDOVER_DATA_5G5G	724-03-31108-71267-2-3150-333:724-03-31108-71267-2-634080-333	D
2023.11.24_23.00.52	-46.468389	-23.598497	TIM	71267	2	31108	4G	-104	-14	-4.0	-	-69	IRAT_HANDOVER_DATA_5G4G	724-03-31108-71267-2-634080-333:724-03-31108-71267-2-3150-333	D
2023.11.24_23.00.56	-46.468617	-23.598652	TIM	71267	2	31108	5G	-102	-12	8.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31108-71267-2-3150-333:724-03-31108-71267-2-634080-333	I
2023.11.24_23.01.06	-46.468977	-23.598964	TIM	65868	66	31139	4G	-97	-13	-4.0	-	-59	IRAT_HANDOVER_DATA_5G4G	724-03-31108-71267-2-634080-333:724-03-31139-65868-66-1700-427	D
2023.11.24_23.01.10	-46.46906	-23.59904	TIM	65868	66	31139	5G	-103	-14	2.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31139-65868-66-1700-427:724-03-31139-65868-66-634080-427	I
2023.11.24_23.01.14	-46.46906	-23.59904	TIM	65868	66	31139	4G	-91	-15	7.0	-	-59	IRAT_CELL_RESELECTION_5G4G	724-03-31139-65868-66-634080-427:724-03-31139-65868-66-1700-427	D
2023.11.24_23.01.22	-46.46906	-23.59904	TIM	71267	2	31108	4G	-96	-12	7.0	-	-63	CELL_RESELECTION_4G4G	724-03-31139-65868-66-1700-427:724-03-31108-71267-2-3150-333	I
2023.11.24_23.01.26	-46.46906	-23.59904	TIM	68145	21	31108	4G	-86	-17	7.0	-	-51	CELL_RESELECTION_4G4G	724-03-31108-71267-2-3150-333:724-03-31108-68145-21-75-325	D
2023.11.24_23.01.30	-46.46906	-23.59904	TIM	68145	21	31108	5G	-93	-14	0.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31108-68145-21-75-325:724-03-31108-68145-21-634080-325	I
2023.11.24_23.01.36	-46.46906	-23.59904	TIM	68145	21	31108	4G	-92	-20	-1.0	-	-53	IRAT_HANDOVER_DATA_5G4G	724-03-31108-68145-21-634080-325:724-03-31108-68145-21-75-325	D
2023.11.24_23.01.38	-46.46906	-23.59904	TIM	65868	66	31139	4G	-88	-15	-1.0	-	-57	HANDOVER_DATA_4G4G	724-03-31108-68145-21-75-325:724-03-31139-65868-66-1700-427	I
2023.11.24_23.01.44	-46.46906	-23.59904	TIM	65868	66	31139	5G	-102	-14	1.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31139-65868-66-1700-427:724-03-31139-65868-66-634080-427	D
2023.11.24_23.01.48	-46.46906	-23.59904	TIM	65868	66	31139	4G	-96	-13	3.0	-	-65	IRAT_CELL_RESELECTION_5G4G	724-03-31139-65868-66-634080-427:724-03-31139-65868-66-1700-427	D
2023.11.24_23.01.52	-46.46906	-23.59904	TIM	71595	1	31139	4G	-106	-14	3.0	-	-67	CELL_RESELECTION_4G4G	724-03-31139-65868-66-1700-427:724-03-31139-71595-1-3150-456	I
2023.11.24_23.02.00	-46.469476	-23.599488	TIM	71596	212	31139	4G	-85	-17	2.0	-	-51	CELL_RESELECTION_4G4G	724-03-31139-71595-1-3150-456:724-03-31139-71596-212-1276-464	I
2023.11.24_23.02.08	-46.469783	-23.599859	TIM	71596	212	31139	5G	-92	-12	7.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31139-71596-212-1276-464:724-03-31139-71596-212-634080-464	D
2023.11.24_23.02.31	-46.47074	-23.603341	TIM	66445	196	31139	4G	-80	-13	3.0	-	-51	IRAT_CELL_RESELECTION_5G4G	724-03-31139-71596-212-634080-464:724-03-31139-66445-196-75-427	I
2023.11.24_23.02.35	-46.470909	-23.604085	TIM	71595	13	31139	4G	-82	-13	3.0	-	-51	CELL_RESELECTION_4G4G	724-03-31139-66445-196-75-427:724-03-31139-71595-13-9410-456	I
2023.11.24_23.02.37	-46.470972	-23.604438	TIM	71596	212	31139	4G	-88	-12	3.0	-	-53	CELL_RESELECTION_4G4G	724-03-31139-71595-13-9410-456:724-03-31139-71596-212-1276-464	I
2023.11.24_23.02.41	-46.471137	-23.605172	TIM	71595	1	31139	5G	-88	-11	10.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31139-71596-212-1276-464:724-03-31139-71595-1-3150-456	D
