Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.11.24_22.29.58	-46.58336	-23.58471	VIVO	4G	-91	1	707	
2023.11.24_22.29.58	-46.58341	-23.58477	VIVO	4G	-91	5	710	
2023.11.24_22.30.11	-46.58341	-23.58477	VIVO	4G	-84	0	710	
2023.11.24_22.30.54	-46.58341	-23.58477	VIVO	4G	-340	0	710	
2023.11.24_22.31.25	-46.58341	-23.58477	VIVO	4G	-85	0	710	
2023.11.24_22.33.02	-46.58341	-23.58477	VIVO	4G	-340	0	710	
2023.11.24_22.33.10	-46.58341	-23.58477	VIVO	4G	-90	0	710	
2023.11.24_22.33.25	-46.58343	-23.58468	VIVO	4G	-92	0	733	
2023.11.24_22.33.30	-46.58343	-23.58468	VIVO	4G	-102	0	733	
2023.11.24_22.33.37	-46.58343	-23.58468	VIVO	4G	-340	0	733	
2023.11.24_22.33.51	-46.58293	-23.58472	VIVO	4G	-90	0	733	
2023.11.24_22.34.03	-46.58293	-23.58472	VIVO	4G	-101	0	733	
2023.11.24_22.34.07	-46.58293	-23.58472	VIVO	4G	-108	0	733	
2023.11.24_22.34.10	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.34.16	-46.58293	-23.58472	VIVO	4G	-106	0	733	
2023.11.24_22.34.18	-46.58293	-23.58472	VIVO	4G	-128	0	733	
2023.11.24_22.34.21	-46.58293	-23.58472	VIVO	4G	-108	0	733	
2023.11.24_22.34.22	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.34.35	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.34.36	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.34.49	-46.58293	-23.58472	VIVO	4G	-95	0	733	
2023.11.24_22.35.00	-46.58293	-23.58472	VIVO	4G	-103	0	733	
2023.11.24_22.35.04	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.35.10	-46.58293	-23.58472	VIVO	4G	-96	0	733	
2023.11.24_22.35.32	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.35.40	-46.58293	-23.58472	VIVO	4G	-340	0	733	
2023.11.24_22.36.18	-46.58293	-23.58472	VIVO	4G	-107	0	733	
