Lat	Lon	Node	Cell	Technology	LAC	oldLAC	ARFCN	oldARFCN	State
42.65316837	23.39031978	302	50412	3G	2200	2300	3016	10762	ARFCN changed
42.65316837	23.39031978	302	50412	3G	2200	2300	3016	10762	LAC changed
42.65091850	23.39278955	38850	3	3G	2200	2300	3016	3016	LAC changed
42.65055618	23.39288886	302	60513	3G	2200	2200	10737	3016	ARFCN changed
42.64951121	23.39320371	38850	3	3G	2200	2300	10737	3016	ARFCN changed
42.64949359	23.39346020	34000	2	4G	2201	2200	1275	3016	ARFCN changed
42.64949359	23.39346020	34000	2	4G	2201	2200	1275	3016	LAC changed
42.64949359	23.39346020	34000	1	4G	2201	2200	1275	3016	ARFCN changed
42.64949359	23.39346020	34000	1	4G	2201	2200	1275	3016	LAC changed
42.65821809	23.36497306	32200	2	4G	2201	2200	1275	3016	ARFCN changed
42.65821809	23.36497306	32200	2	4G	2201	2200	1275	3016	LAC changed
42.66085011	23.36136110	39030	1	4G	2201	2200	1275	3016	ARFCN changed
42.66085011	23.36136110	39030	1	4G	2201	2200	1275	3016	LAC changed
42.69122972	23.33712059	37340	2	4G	2301	2200	1275	3016	ARFCN changed
42.69122972	23.33712059	37340	2	4G	2301	2200	1275	3016	LAC changed
42.69201481	23.33847774	302	50442	3G	2200	2200	3016	10737	ARFCN changed
42.69219791	23.33864996	31450	2	3G	2200	2300	3016	10762	ARFCN changed
42.69219791	23.33864996	31450	2	3G	2200	2300	3016	10762	LAC changed
