Timestamp	Longitude	Latitude	Speed	Operatorname	Operator	CGI	Cellname	Node	CellID	LAC	NetworkTech	NetworkMode	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2018.05.30_18.05.34.014	23.39019708	42.65327424	4	A1_BG	28401	2.8401E+14	389502	38950	2	2201	4G	4G	-79	-12	14	-	-63	34	16	56	10	0	23820	10222	30526	12808
2018.05.30_18.09.14.153	23.39273168	42.65103023	4	A1_BG	28401	2.8401E+14	388503	38850	3	2201	4G	4G	-90	-13	3.2	-	-66	164	27	1184	343	0	16356	7174	18357	8068
2018.05.30_18.12.53.141	23.39283821	42.64984969	4	A1_BG	28401	2.8401E+14	388503	38850	3	2201	4G	4G	-68	-12	18	-	-63	36	28	51	7	0	33431	0	59615	0
2018.05.30_18.23.04	23.38081584	42.64848735	0	A1_BG	28401	2.8401E+14	302-60513	34000	1	2201	4G	4G	-83	-10	18.8	-	-68	44	27	131	29	0	2367	4376	2463	6174
2018.05.30_18.26.41	23.36431168	42.6585847	0	A1_BG	28401	2.8401E+14	302-60513	32200	2	2201	4G	4G	-74	-12	21	-	-63	111	29	791	227	0	23929	7428	33418	9285
2018.05.30_18.30.21	23.35190562	42.67017039	0	A1_BG	28401	2.8401E+14	302-60513	39030	1	2201	4G	4G	-92	-9	4.4	-	-70	126	27	920	265	0	3174	5247	6660	8057
2018.05.30_18.34.04	23.33235296	42.68673054	0	A1_BG	28401	2.8401E+14	302-60513	39030	1	2201	4G	4G	-78	-10	20.4	-	-63	67	27	173	42	0	972	2549	1106	4149
2018.05.30_18.37.44	23.33627346	42.69095638	0	A1_BG	28401	2.8401E+14	302-60513	37340	2	2301	4G	4G	-91	-12	-1.2	-	-67	136	27	450	148	0	6551	1161	16983	1613
2018.05.30_18.41.23.291	23.33841693	42.69191361	3	A1_BG	28401	2.8401E+14	314502	31450	2	2301	4G	4G	-69	-8	23	-	-63	33	18	45	7	0	17401	8900	20479	9458
2018.05.30_18.44.27.452	23.33928537	42.69336828	3	A1_BG	28401	2.8401E+14	314501	31450	1	2301	4G	4G	-82	-17	-2.4	-	-63	34	28	41	4	0	18327	8131	29226	8825
2018.05.30_18.45.31.984	23.33938086	42.69414314	4	A1_BG	28401	2.8401E+14	379502	37950	2	2301	4G	4G	-74	-12	17.8	-	-63	33	19	44	6	0	28095	9149	36716	9561
2018.05.30_18.47.42.278	23.34114626	42.6947019	4	A1_BG	28401	2.8401E+14	380702	38070	2	2301	4G	4G	-85	-12	10.2	-	-64	29	18	34	4	0	26038	9272	28576	9962
